id,url,version_oficial,cilindrada_cc,cilindrada,power_hp,torque_nm,carroceria,categoria,traccion_spec,transmision_spec,tipo_caja,combustible_spec,puertas,asientos,cilindros,autonomia_km,peso_kg
CP-AD-8534254,https://www.chileautos.cl/vehiculos/detalles/2021-ford-explorer-2-3-xlt-ecoboost-4x4-at-5p/CP-AD-8534254,2.3 XLT ECOBOOST 4X4 AT 5P,2300.0,2.3,300.0,420.0,"SUV, 5 puertas, 7 asientos",SUV,4X4,Automática,Automática,Bencina,5.0,7.0,4.0,646.0,2012.0
CP-AD-8537029,https://www.chileautos.cl/vehiculos/detalles/2023-ford-f-150-5-0-xlt-cc-dob-cab-4x4-at-4p/CP-AD-8537029,5.0 XLT CC DOB. CAB. 4X4 AT 4P,5038.0,5.0,400.0,556.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,1129.0,2228.0
CP-AD-8486234,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-silverado-6-2-zr2-r-4x4-at-4p/CP-AD-8486234,6.2 ZR2 R 4X4 AT 4P,6200.0,6.2,420.0,624.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,618.0,3221.0
CP-AD-8515640,https://www.chileautos.cl/vehiculos/detalles/2024-peugeot-3008-1-5-allure-pack-bluehdi-130-4x2-eat8-5p/CP-AD-8515640,1.5 ALLURE PACK BLUEHDI 130 4X2 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1362.0,1429.0
CP-AD-8541027,https://www.chileautos.cl/vehiculos/detalles/2018-toyota-rav4-2-0-lujo-4x2-cvt-at-5p/CP-AD-8541027,2.0 LUJO 4X2 CVT AT 5P,1987.0,2.0,143.0,187.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,5.0,4.0,822.0,1610.0
GI-AD-889212,https://www.chileautos.cl/vehiculos/detalles/ford-ranger-ranger-dc-3-2-d-xlt-at-2023/GI-AD-889212,,,,,,,,,,,,,,,,
CP-AD-8534885,https://www.chileautos.cl/vehiculos/detalles/2022-mitsubishi-l200-2-4-katana-cr-diesel-special-pack-dob-cab-4x2-mt-4p/CP-AD-8534885,2.4 KATANA CR DIESEL SPECIAL PACK DOB. CAB. 4X2 MT 4P,2442.0,2.4,152.0,380.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X2,Manual,Mecánico,Diesel,4.0,5.0,4.0,1012.0,2760.0
CP-AD-8502279,https://www.chileautos.cl/vehiculos/detalles/2022-ford-ranger-3-2-xls-4x4-diesel-dob-cab-mt-4p/CP-AD-8502279,3.2 XLS 4X4 DIESEL DOB. CAB. MT 4P,3198.0,3.2,200.0,470.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Manual,Mecánico,Diesel,4.0,5.0,5.0,992.0,3200.0
CP-AD-8510994,https://www.chileautos.cl/vehiculos/detalles/2019-ford-f-150-5-0-4x4/CP-AD-8510994,,,,,,,,,,,,,,,,
GI-AD-897234,https://www.chileautos.cl/vehiculos/detalles/ford-ranger-2026-ltd-4x4-3-0-aut/GI-AD-897234,,,,,,,,,,,,,,,,
GI-AD-895527,https://www.chileautos.cl/vehiculos/detalles/chevrolet-silverado-2025-3-0-high-country-4x4-at-4p/GI-AD-895527,,,,,,,,,,,,,,,,
CP-AD-8512957,https://www.chileautos.cl/vehiculos/detalles/2021-peugeot-2008-1-2-active-puretech-4x2-130-mt-5p/CP-AD-8512957,1.2 ACTIVE PURETECH 4X2 130 MT 5P,1199.0,1.2,130.0,230.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Bencina,5.0,5.0,3.0,915.0,1712.0
CP-AD-8486198,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-silverado-5-3-lt-r-trail-boss-z71-4x4-at-4p/CP-AD-8486198,5.3 LT R TRAIL BOSS Z71 4X4 AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,728.0,3130.0
CL-AD-20426746,https://www.chileautos.cl/vehiculos/detalles/2023-peugeot-3008-1-5-allure-pack-bluehdi-130-4x2-eat8-5p/CL-AD-20426746,1.5 ALLURE PACK BLUEHDI 130 4X2 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1362.0,1429.0
CL-AD-20469274,https://www.chileautos.cl/vehiculos/detalles/2019-peugeot-3008-1-5-active-bluehdi-4x2-130-mt6-5p/CL-AD-20469274,1.5 ACTIVE BLUEHDI 4X2 130 MT6 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Diesel,5.0,5.0,4.0,1372.0,1429.0
CL-AD-20429965,https://www.chileautos.cl/vehiculos/detalles/2019-ford-explorer-3-5-xlt-4x2-at-5p/CL-AD-20429965,3.5 XLT 4X2 AT 5P,3500.0,3.5,290.0,345.0,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,7.0,,602.0,2022.0
CP-AD-8534270,https://www.chileautos.cl/vehiculos/detalles/2024-nissan-x-trail-2-5-sense-4x2-2row-cvt-at-5p/CP-AD-8534270,2.5 SENSE 4X2 2ROW CVT AT 5P,2488.0,2.5,181.0,245.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,5.0,4.0,676.0,1540.0
CP-AD-8535660,https://www.chileautos.cl/vehiculos/detalles/2024-peugeot-2008-1-5-allure-pack-bluehdi-130hp-diesel-4x2-eat8-5p/CP-AD-8535660,1.5 ALLURE PACK BLUEHDI 130HP DIESEL 4X2 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1196.0,1270.0
CP-AD-8525931,https://www.chileautos.cl/vehiculos/detalles/2023-peugeot-3008-1-5-allure-pack-bluehdi-130-4x2-eat8-5p/CP-AD-8525931,1.5 ALLURE PACK BLUEHDI 130 4X2 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1362.0,1429.0
CP-AD-8487176,https://www.chileautos.cl/vehiculos/detalles/2021-chevrolet-tracker-1-2t-ltz-fwd-mt-5p/CP-AD-8487176,1.2T LTZ FWD MT 5P,1200.0,1.2,130.0,190.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Bencina,5.0,5.0,3.0,735.0,1214.0
CP-AD-8541046,https://www.chileautos.cl/vehiculos/detalles/2019-ford-explorer-3-5-xlt-4x2-at-5p/CP-AD-8541046,3.5 XLT 4X2 AT 5P,3500.0,3.5,290.0,345.0,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,7.0,,602.0,2022.0
GI-AD-889290,https://www.chileautos.cl/vehiculos/detalles/ford-f-150-lariat-sport-4x4-5-0l-aut-2022/GI-AD-889290,,,,,,,,,,,,,,,,
GI-AD-886456,https://www.chileautos.cl/vehiculos/detalles/chevrolet-tracker-1-2t-premier-fwd-at-5p-2021/GI-AD-886456,,,,,,,,,,,,,,,,
GI-AD-889356,https://www.chileautos.cl/vehiculos/detalles/chevrolet-tracker-1-2t-ltz-r-4x2-at-5p-2025/GI-AD-889356,,,,,,,,,,,,,,,,
GI-AD-889336,https://www.chileautos.cl/vehiculos/detalles/ford-ranger-dc-3-2-d-xlt-4x4-2023/GI-AD-889336,,,,,,,,,,,,,,,,
CP-AD-8489721,https://www.chileautos.cl/vehiculos/detalles/2021-mitsubishi-l200-2-4-katana-crt-diesel-special-pack-dob-cab-4x4-mt-4p/CP-AD-8489721,2.4 KATANA CRT DIESEL SPECIAL PACK DOB. CAB. 4X4 MT 4P,2442.0,2.4,152.0,380.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Manual,Mecánico,Diesel,4.0,5.0,4.0,787.0,1840.0
GI-AD-889217,https://www.chileautos.cl/vehiculos/detalles/ford-ranger-ranger-4x4-xlt-3-2-aut-2023/GI-AD-889217,,,,,,,,,,,,,,,,
CP-AD-8540099,https://www.chileautos.cl/vehiculos/detalles/2015-toyota-rav4-2-0-lujo-4x2-bt-mt-5p/CP-AD-8540099,2.0 LUJO 4X2 BT MT 5P,1987.0,2.0,143.0,187.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Bencina,5.0,5.0,4.0,774.0,1605.0
CP-AD-8539871,https://www.chileautos.cl/vehiculos/detalles/2026-toyota-rav4-2-0-le-4x2-cvt-at-5p/CP-AD-8539871,2.0 LE 4X2 CVT AT 5P,1987.0,2.0,169.0,203.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,5.0,4.0,808.0,2115.0
CP-AD-8527708,https://www.chileautos.cl/vehiculos/detalles/2018-toyota-rav4-le-2-0-mt/CP-AD-8527708,,,,,,,,,,,,,,,,
CP-AD-8539958,https://www.chileautos.cl/vehiculos/detalles/2022-ford-f-150-5-0-lariat-luxury-cc-dob-cab-4x4-at-4p/CP-AD-8539958,5.0 LARIAT LUXURY CC DOB. CAB. 4X4 AT 4P,5038.0,5.0,400.0,556.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,722.0,2274.0
CP-AD-8536801,https://www.chileautos.cl/vehiculos/detalles/2015-ford-f-150-platinum-4x4-3-5-maximo-equipo-mantenciones-al-dia/CP-AD-8536801,,,,,,,,,,,,,,,,
CP-AD-8535642,https://www.chileautos.cl/vehiculos/detalles/2021-mitsubishi-l200-2-4-work-cr-diesel-wf-dob-cab-4x2-mt-4p/CP-AD-8535642,2.4 WORK CR DIESEL WF DOB. CAB. 4X2 MT 4P,2442.0,2.4,152.0,380.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X2,Manual,Mecánico,Diesel,4.0,5.0,4.0,787.0,2760.0
CP-AD-8539206,https://www.chileautos.cl/vehiculos/detalles/2022-ford-ranger-fx4-diesel-automatica-3-2-full-unico-dueno-45-000-kms-mantencion-ford-oficial/CP-AD-8539206,,,,,,,,,,,,,,,,
CP-AD-8531540,https://www.chileautos.cl/vehiculos/detalles/2026-toyota-rav4-2-0-le-4x2-cvt-at-5p/CP-AD-8531540,2.0 LE 4X2 CVT AT 5P,1987.0,2.0,169.0,203.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,5.0,4.0,808.0,2115.0
CP-AD-8535039,https://www.chileautos.cl/vehiculos/detalles/2023-ford-ranger-3-2-xlt-4x4-diesel-dob-cab-at-4p/CP-AD-8535039,3.2 XLT 4X4 DIESEL DOB. CAB. AT 4P,3198.0,3.2,200.0,470.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Diesel,4.0,5.0,5.0,880.0,3200.0
CP-AD-8457033,https://www.chileautos.cl/vehiculos/detalles/2017-chevrolet-tracker-traker-lt-1-8/CP-AD-8457033,,,,,,,,,,,,,,,,
CP-AD-8508918,https://www.chileautos.cl/vehiculos/detalles/2025-peugeot-3008-1-2-allure-mhev-4x2-136-edct-at-5p/CP-AD-8508918,1.2 ALLURE MHEV 4X2 136 EDCT AT 5P,1199.0,1.2,136.0,230.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,5.0,3.0,1182.0,1574.0
CP-AD-8538610,https://www.chileautos.cl/vehiculos/detalles/2020-peugeot-3008-1-6-allure-4x2-thp-165-eat6-5p/CP-AD-8538610,1.6 ALLURE 4X2 THP 165 EAT6 5P,1598.0,1.6,165.0,240.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,5.0,4.0,742.0,1315.0
CP-AD-8537210,https://www.chileautos.cl/vehiculos/detalles/2023-ford-explorer-2-3-ecoboost-xlt-4x4-at-5p/CP-AD-8537210,2.3 ECOBOOST XLT 4X4 AT 5P,2300.0,2.3,300.0,420.0,"SUV, 5 puertas, 7 asientos",SUV,4X4,Automática,Automática,Bencina,5.0,7.0,4.0,646.0,2012.0
CP-AD-8536399,https://www.chileautos.cl/vehiculos/detalles/2020-ford-f-150-5-0-xlt-cc-dob-cab-4x4-at-4p/CP-AD-8536399,5.0 XLT CC DOB. CAB. 4X4 AT 4P,4949.0,5.0,385.0,525.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,670.0,2036.0
CP-AD-8535616,https://www.chileautos.cl/vehiculos/detalles/2024-ford-f-150-5-0-lariat-luxury-cc-dob-cab-4x4-at-4p/CP-AD-8535616,5.0 LARIAT LUXURY CC DOB. CAB. 4X4 AT 4P,5038.0,5.0,400.0,556.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,722.0,2274.0
CP-AD-8533471,https://www.chileautos.cl/vehiculos/detalles/2021-ford-f-150-shelby/CP-AD-8533471,,,,,,,,,,,,,,,,
CL-AD-20361431,https://www.chileautos.cl/vehiculos/detalles/2022-ford-ranger-3-2-xlt-4x4-diesel-dob-cab-mt-4p/CL-AD-20361431,3.2 XLT 4X4 DIESEL DOB. CAB. MT 4P,3198.0,3.2,200.0,470.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Manual,Mecánico,Diesel,4.0,5.0,5.0,992.0,3200.0
GI-AD-889164,https://www.chileautos.cl/vehiculos/detalles/chevrolet-tracker-1-2t-ltz-r-4x2-at-5p-2025/GI-AD-889164,,,,,,,,,,,,,,,,
CL-AD-19742144,https://www.chileautos.cl/vehiculos/detalles/2021-ford-f-150-3-5-platinum-4x4-cc-dob-cab-at-4p/CL-AD-19742144,3.5 PLATINUM 4X4 CC DOB. CAB. AT 4P,3497.0,3.5,400.0,678.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,6.0,1034.0,2244.0
CL-AD-20128468,https://www.chileautos.cl/vehiculos/detalles/2014-toyota-rav4-2-5-super-lujo-4x2-se-cam-at-5p/CL-AD-20128468,2.5 SUPER LUJO 4X2 SE CAM AT 5P,2494.0,2.5,177.0,233.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,5.0,4.0,702.0,1635.0
CL-AD-20552476,https://www.chileautos.cl/vehiculos/detalles/2017-ford-explorer-3-5-xlt-4wd-3-corridas-at-5p/CL-AD-20552476,3.5 XLT 4WD 3 CORRIDAS AT 5P,3500.0,3.5,290.0,345.0,"SUV, 5 puertas, 7 asientos",SUV,4X4,Automática,Automática,Bencina,5.0,7.0,,602.0,2022.0
CP-AD-8512070,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-silverado-6-2-zr2-r-4x4-at-4p/CP-AD-8512070,6.2 ZR2 R 4X4 AT 4P,6200.0,6.2,420.0,624.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,618.0,3221.0
CL-AD-20191805,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-3008-1-6-gt-line-4x2-thp-165hp-eat6-5p/CL-AD-20191805,1.6 GT LINE 4X2 THP 165HP EAT6 5P,1598.0,1.6,165.0,240.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,5.0,4.0,742.0,1300.0
GI-AD-874909,https://www.chileautos.cl/vehiculos/detalles/ford-ranger-2024-2-0-xlt/GI-AD-874909,,,,,,,,,,,,,,,,
CP-AD-8537885,https://www.chileautos.cl/vehiculos/detalles/2022-peugeot-2008-1-5-active-bluehdi-100-diesel-4x2-mt-5p/CP-AD-8537885,1.5 ACTIVE BLUEHDI 100 DIESEL 4X2 MT 5P,1499.0,1.5,100.0,250.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Diesel,5.0,5.0,4.0,1119.0,1730.0
CP-AD-8522514,https://www.chileautos.cl/vehiculos/detalles/2024-chevrolet-silverado-3-0-high-country-4x4-at-4p/CP-AD-8522514,3.0 HIGH COUNTRY 4X4 AT 4P,3000.0,3.0,305.0,671.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Diesel,4.0,5.0,6.0,1064.0,3266.0
CP-AD-8537034,https://www.chileautos.cl/vehiculos/detalles/2017-nissan-x-trail-sense-cvt-2-5/CP-AD-8537034,,,,,,,,,,,,,,,,
CP-AD-8538278,https://www.chileautos.cl/vehiculos/detalles/2024-ford-f-150-3-5-platinum-cc-dob-cab-4x4-at-4p/CP-AD-8538278,3.5 PLATINUM CC DOB. CAB. 4X4 AT 4P,3497.0,3.5,400.0,678.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,6.0,1034.0,2244.0
GI-AD-889049,https://www.chileautos.cl/vehiculos/detalles/nissan-x-trail-2023-2-5-sense-2row-at-4x2/GI-AD-889049,,,,,,,,,,,,,,,,
CP-AD-8540798,https://www.chileautos.cl/vehiculos/detalles/2025-ford-ranger-2-0-xls-diesel-4x2-dob-cab-mt-4p/CP-AD-8540798,2.0 XLS DIESEL 4X2 DOB. CAB. MT 4P,1996.0,2.0,170.0,405.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X2,Manual,Mecánico,Diesel,4.0,5.0,4.0,1096.0,3100.0
CL-AD-17076229,https://www.chileautos.cl/vehiculos/detalles/2021-peugeot-2008-1-2-allure-puretech-4x2-130-mt-5p/CL-AD-17076229,1.2 ALLURE PURETECH 4X2 130 MT 5P,1199.0,1.2,130.0,230.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Manual,Mecánico,Bencina,5.0,5.0,3.0,915.0,1712.0
CL-AD-19024845,https://www.chileautos.cl/vehiculos/detalles/2013-ford-f-150-5-0-lariat-4wd-sc-at-4p/CL-AD-19024845,5.0 LARIAT 4WD SC AT 4P,4949.0,5.0,360.0,514.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,993.0,2593.0
GI-AD-867130,https://www.chileautos.cl/vehiculos/detalles/peugeot-3008-2025-3008-thp-165hp-1-6-aut/GI-AD-867130,,,,,,,,,,,,,,,,
CP-AD-8537526,https://www.chileautos.cl/vehiculos/detalles/2021-chevrolet-silverado-5-3-lt-trailboss-z71-4x4-at-4p/CP-AD-8537526,5.3 LT TRAILBOSS Z71 4X4 AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,691.0,2300.0
GI-AD-890939,https://www.chileautos.cl/vehiculos/detalles/nissan-x-trail-2-5-exclusive-4x4-3row-cvt-at-5p-2023/GI-AD-890939,,,,,,,,,,,,,,,,
CP-AD-8516988,https://www.chileautos.cl/vehiculos/detalles/2023-ford-f-150-5-0-xlt-cc-dob-cab-4x4-at-4p/CP-AD-8516988,5.0 XLT CC DOB. CAB. 4X4 AT 4P,5038.0,5.0,400.0,556.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,1129.0,2228.0
CP-AD-8516947,https://www.chileautos.cl/vehiculos/detalles/2026-ford-f-150-5-0-lariat-luxury-cc-dob-cab-4x4-at-4p/CP-AD-8516947,5.0 LARIAT LUXURY CC DOB. CAB. 4X4 AT 4P,5038.0,5.0,400.0,556.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,1142.0,3221.0
CP-AD-8541404,https://www.chileautos.cl/vehiculos/detalles/2017-ford-f-150-3-5-platinum-4x4-cc-dob-cab-at-4p/CP-AD-8541404,3.5 PLATINUM 4X4 CC DOB. CAB. AT 4P,3500.0,3.5,365.0,569.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,6.0,661.0,2218.0
CL-AD-20357562,https://www.chileautos.cl/vehiculos/detalles/2025-peugeot-3008-1-5-allure-pack-bluehdi-130-4x2-eat8-5p/CL-AD-20357562,1.5 ALLURE PACK BLUEHDI 130 4X2 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1362.0,1429.0
CP-AD-8514763,https://www.chileautos.cl/vehiculos/detalles/2024-ford-explorer-2-3-ecoboost-limited-4x2-at-5p/CP-AD-8514763,2.3 ECOBOOST LIMITED 4X2 AT 5P,2300.0,2.3,300.0,420.0,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,7.0,4.0,646.0,2012.0
CL-AD-20393810,https://www.chileautos.cl/vehiculos/detalles/2019-peugeot-3008-1-5-active-bluehdi-4x2-130-eat8-5p/CL-AD-20393810,1.5 ACTIVE BLUEHDI 4X2 130 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1362.0,1426.0
CP-AD-8540505,https://www.chileautos.cl/vehiculos/detalles/2020-mitsubishi-l200-2-4-katana-crt-diesel-dob-cab-4x4-mt-4p/CP-AD-8540505,2.4 KATANA CRT DIESEL DOB. CAB. 4X4 MT 4P,2442.0,2.4,152.0,380.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Manual,Mecánico,Diesel,4.0,5.0,4.0,1012.0,2840.0
CL-AD-17838647,https://www.chileautos.cl/vehiculos/detalles/2013-ford-explorer/CL-AD-17838647,,,,,,,,,,,,,,,,
CP-AD-8538176,https://www.chileautos.cl/vehiculos/detalles/2023-chevrolet-silverado-6-2-zr2-4x4-at-4p/CP-AD-8538176,6.2 ZR2 4X4 AT 4P,6200.0,6.2,420.0,624.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,618.0,3221.0
CP-AD-8538454,https://www.chileautos.cl/vehiculos/detalles/2022-chevrolet-silverado-5-3-ltz-4wd-cc-z71-dob-cab-at-4p/CP-AD-8538454,,,,,,,,,,,,,,,,
CP-AD-8538625,https://www.chileautos.cl/vehiculos/detalles/2022-ford-f-150-platinium/CP-AD-8538625,,,,,,,,,,,,,,,,
CP-AD-8538639,https://www.chileautos.cl/vehiculos/detalles/2025-toyota-rav4-2-0-le-4x2-cvt-at-5p/CP-AD-8538639,2.0 LE 4X2 CVT AT 5P,1987.0,2.0,170.0,203.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,5.0,4.0,825.0,1480.0
CP-AD-8540027,https://www.chileautos.cl/vehiculos/detalles/2022-ford-f-150-5-0-lariat-luxury-cc-dob-cab-4x4-at-4p/CP-AD-8540027,5.0 LARIAT LUXURY CC DOB. CAB. 4X4 AT 4P,5038.0,5.0,400.0,556.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,722.0,2274.0
CP-AD-8531969,https://www.chileautos.cl/vehiculos/detalles/2024-chevrolet-silverado-trail-boss-4x4-cc-5-3-aut-z71/CP-AD-8531969,,,,,,,,,,,,,,,,
CL-AD-19745701,https://www.chileautos.cl/vehiculos/detalles/2014-ford-explorer-3-5-limited-4x4-at-5p/CL-AD-19745701,3.5 LIMITED 4X4 AT 5P,3500.0,3.5,290.0,345.0,"SUV, 5 puertas, 7 asientos",SUV,4X4,Automática,Automática,Bencina,5.0,7.0,,602.0,2062.0
CL-AD-19858221,https://www.chileautos.cl/vehiculos/detalles/2019-peugeot-2008/CL-AD-19858221,,,,,,,,,,,,,,,,
CP-AD-8506333,https://www.chileautos.cl/vehiculos/detalles/2022-chevrolet-silverado-5-3-lt-trailboss-z71-4x4-at-4p/CP-AD-8506333,5.3 LT TRAILBOSS Z71 4X4 AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,691.0,2300.0
CP-AD-8506406,https://www.chileautos.cl/vehiculos/detalles/2026-ford-f-150-5-0-lariat-black-cc-4x4-dob-cab-at-4p/CP-AD-8506406,5.0 LARIAT BLACK CC 4X4 DOB. CAB. AT 4P,5038.0,5.0,400.0,556.0,"Pick-up, 4 puertas, 6 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,6.0,8.0,1142.0,3221.0
GI-AD-882339,https://www.chileautos.cl/vehiculos/detalles/chevrolet-silverado-6-2-zr2-r-4x4-at-4p-2025/GI-AD-882339,,,,,,,,,,,,,,,,
CP-AD-8507195,https://www.chileautos.cl/vehiculos/detalles/2023-chevrolet-silverado-6-2-zr2-4x4-at-4p/CP-AD-8507195,6.2 ZR2 4X4 AT 4P,6200.0,6.2,420.0,624.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,618.0,3221.0
CP-AD-8537244,https://www.chileautos.cl/vehiculos/detalles/2025-chevrolet-silverado-5-3-lt-r-trail-boss-z71-4x4-at-4p/CP-AD-8537244,5.3 LT R TRAIL BOSS Z71 4X4 AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,728.0,3130.0
CP-AD-8536746,https://www.chileautos.cl/vehiculos/detalles/2025-peugeot-3008-1-2-premiere-mhev-4x2-136-edct-at-5p/CP-AD-8536746,1.2 PREMIERE MHEV 4X2 136 EDCT AT 5P,1199.0,1.2,136.0,230.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,5.0,3.0,1182.0,1574.0
CP-AD-8537437,https://www.chileautos.cl/vehiculos/detalles/2015-ford-ranger-3-2-xlt-diesel-4wd-mt-4p/CP-AD-8537437,3.2 XLT DIESEL 4WD MT 4P,3198.0,3.2,197.0,470.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Manual,Mecánico,Diesel,4.0,5.0,5.0,840.0,2073.0
CP-AD-8537980,https://www.chileautos.cl/vehiculos/detalles/2025-peugeot-3008-p64-allure-hybrid-1-2-at/CP-AD-8537980,,,,,,,,,,,,,,,,
GI-AD-857111,https://www.chileautos.cl/vehiculos/detalles/ford-explorer-2016-3-5-xlt-auto-4wd/GI-AD-857111,,,,,,,,,,,,,,,,
CL-AD-19981267,https://www.chileautos.cl/vehiculos/detalles/2022-peugeot-3008-1-6-gt-puretech-4x2-180-eat8-5p/CL-AD-19981267,1.6 GT PURETECH 4X2 180 EAT8 5P,1598.0,1.6,180.0,250.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5.0,5.0,4.0,943.0,1429.0
GI-AD-857447,https://www.chileautos.cl/vehiculos/detalles/mitsubishi-l200-2026-2-4-katana-xrt-mt-4x4-diesel/GI-AD-857447,,,,,,,,,,,,,,,,
GI-AD-886338,https://www.chileautos.cl/vehiculos/detalles/chevrolet-tracker-1-2t-ltz-r-4x2-at-5p-2025/GI-AD-886338,,,,,,,,,,,,,,,,
